Name: macd_cross_wr_14.py | Average Percentage: 98
Name: ao.py | Average Percentage: 97
Name: uo.py | Average Percentage: 94
Name: ao_macd.py | Average Percentage: 91
Name: tema30_close_cross.py | Average Percentage: 83
Name: ema_50_200_cross.py | Average Percentage: 83
Name: ao_saucer.py | Average Percentage: 79
Name: macd_cross_wr_20.py | Average Percentage: 78
Name: bolinger_up.py | Average Percentage: 68
Name: bolinger_kc_rsi.py | Average Percentage: 65
Name: ema_144_169_sma_5.py | Average Percentage: 65
Name: macd.py | Average Percentage: 63
Name: sma_13_close_cross.py | Average Percentage: 63
Name: dwma_20_close_cross.py | Average Percentage: 63
Name: sma_20_close_cross.py | Average Percentage: 62
Name: tsi_cross.py | Average Percentage: 61
Name: sma_19_close_cross.py | Average Percentage: 60
Name: tema9_close_cross.py | Average Percentage: 59
Name: srsi_2.py | Average Percentage: 58
Name: kc_close.py | Average Percentage: 58
Name: rsi_5_20_cross.py | Average Percentage: 57
Name: sma_9_21.py | Average Percentage: 56
Name: dwma.py | Average Percentage: 56
Name: wsma_20_50_cross.py | Average Percentage: 56
Name: cci_wr.py | Average Percentage: 55
Name: elder_ray2.py | Average Percentage: 55
Name: ema_20_close_cross.py | Average Percentage: 53
Name: wsma_20_close.py | Average Percentage: 53
Name: ema_8_21_cross.py | Average Percentage: 53
Name: ema_9_21_cross.py | Average Percentage: 52
Name: tema_close.py | Average Percentage: 52
Name: sma_13_34.py | Average Percentage: 50
Name: ema_13_48_cross.py | Average Percentage: 50
Name: rsi_sma.py | Average Percentage: 48
Name: ema_tema.py | Average Percentage: 47
Name: sma_13_48_cross.py | Average Percentage: 43
Name: ema_20_50_cross.py | Average Percentage: 43
Name: dwma_9_21_cross.py | Average Percentage: 43
Name: adx.py | Average Percentage: 42
Name: sma_20_50_cross.py | Average Percentage: 41
Name: srsi_1.py | Average Percentage: 32
Name: sma_13_20.py | Average Percentage: 32
Name: tsi2.py | Average Percentage: 31
Name: cci_mfi_rsi_sto_wr.py | Average Percentage: 30
Name: adx_rsi.py | Average Percentage: 29
Name: bolinger.py | Average Percentage: 29
Name: emav_20_50.py | Average Percentage: 28
Name: kc_stochastic.py | Average Percentage: 27
Name: bolinger_4_days_down.py | Average Percentage: 26
Name: cci_20.py | Average Percentage: 25
Name: bolinger_rsi_sma.py | Average Percentage: 24
Name: rsi_20.py | Average Percentage: 24
Name: roc.py | Average Percentage: 23
Name: bolinger_mid.py | Average Percentage: 20
Name: rsi_14.py | Average Percentage: 19
Name: bolinger_rsi1.py | Average Percentage: 18
Name: cci_sma.py | Average Percentage: 13
Name: bolinger_rsi2.py | Average Percentage: 13
Name: dwma_20_50_cross.py | Average Percentage: 11
Name: mfi.py | Average Percentage: 8
Name: cci_14.py | Average Percentage: 6
Name: macd_cross_cci_20.py | Average Percentage: 6
Name: sma_50_200.py | Average Percentage: 3
Name: close_4_days_down.py | Average Percentage: -6
